"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
3,5,"TGFB1","TGFbR1_R2",0.00162142185142989,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
3,5,"TGFB2","TGFbR1_R2",0.000142084789288174,0.01,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
3,5,"TGFB3","TGFbR1_R2",0.00173567663584138,0,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
3,5,"TGFB1","ACVR1B_TGFbR2",0.0012596906574233,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
3,5,"TGFB2","ACVR1B_TGFbR2",0.000110134861094195,0.01,"TGFB2_ACVR1B_TGFBR2","TGFB2 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
3,5,"TGFB3","ACVR1B_TGFbR2",0.00134869364519344,0,"TGFB3_ACVR1B_TGFBR2","TGFB3 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
3,5,"TGFB1","ACVR1_TGFbR",0.00569558958428758,0,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
3,5,"TGFB2","ACVR1_TGFbR",0.000497856303240077,0,"TGFB2_ACVR1_TGFBR1","TGFB2 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
3,5,"TGFB3","ACVR1_TGFbR",0.00609811332348522,0,"TGFB3_ACVR1_TGFBR1","TGFB3 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
3,5,"BMP2","BMPR1A_ACVR2A",0.000301521881643889,0,"BMP2_BMPR1A_ACVR2A","BMP2 - (BMPR1A+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
3,5,"BMP2","BMPR1A_BMPR2",0.000518816614723691,0,"BMP2_BMPR1A_BMPR2","BMP2 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
3,5,"BMP4","BMPR1A_ACVR2A",0.0002622241482899,0,"BMP4_BMPR1A_ACVR2A","BMP4 - (BMPR1A+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
3,5,"BMP4","BMPR1A_BMPR2",0.000451237286101287,0,"BMP4_BMPR1A_BMPR2","BMP4 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
3,5,"BMP6","ACVR1_ACVR2A",0.000629727959854726,0,"BMP6_ACVR1_ACVR2A","BMP6 - (ACVR1+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
3,5,"BMP6","ACVR1_BMPR2",0.00108277196772747,0,"BMP6_ACVR1_BMPR2","BMP6 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
3,5,"BMP6","BMPR1A_ACVR2A",0.000445533578759633,0,"BMP6_BMPR1A_ACVR2A","BMP6 - (BMPR1A+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
3,5,"BMP6","BMPR1A_BMPR2",0.000766370866774026,0,"BMP6_BMPR1A_BMPR2","BMP6 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
3,5,"BMP8B","ACVR1_ACVR2A",1.85557302689654e-05,0,"BMP8B_ACVR1_ACVR2A","BMP8B - (ACVR1+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
3,5,"BMP8B","ACVR1_BMPR2",3.19478336374424e-05,0,"BMP8B_ACVR1_BMPR2","BMP8B - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
3,5,"BMP8B","BMPR1A_ACVR2A",1.31210984947886e-05,0,"BMP8B_BMPR1A_ACVR2A","BMP8B - (BMPR1A+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
3,5,"BMP8B","BMPR1A_BMPR2",2.25911694950226e-05,0,"BMP8B_BMPR1A_BMPR2","BMP8B - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
3,5,"GDF10","ACVR1B_ACVR2A",0.000257233250709299,0,"GDF10_ACVR1B_ACVR2A","GDF10 - (ACVR1B+ACVR2A)","GDF","Secreted Signaling","KEGG: hsa04350"
3,5,"GDF11","TGFBR1_ACVR2A",0.00178837561374605,0,"GDF11_TGFBR1_ACVR2A","GDF11 - (TGFBR1+ACVR2A)","GDF","Secreted Signaling","KEGG: hsa04350"
3,5,"GDF15","TGFBR2",0.000145952908171846,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
3,5,"INHBA","ACVR1B_ACVR2A",0.00140032139064599,0,"INHBA_ACVR1B_ACVR2A","INHBA - (ACVR1B+ACVR2A)","ACTIVIN","Secreted Signaling","KEGG: hsa04350"
3,5,"INHBB","ACVR1B_ACVR2A",0.000700955135714261,0,"INHBB_ACVR1B_ACVR2A","INHBB - (ACVR1B+ACVR2A)","ACTIVIN","Secreted Signaling","KEGG: hsa04352"
3,5,"Activin AB","ACVR1B_ACVR2A",0.000990834577963966,0,"INHBABB_ACVR1B_ACVR2A","INHBABB - (ACVR1B+ACVR2A)","ACTIVIN","Secreted Signaling","PMID: 2457849; PMID: 22991378"
3,5,"WNT10A","FZD1_LRP5",7.92289952575456e-05,0,"WNT10A_FZD1_LRP5","WNT10A - (FZD1+LRP5)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
3,5,"WNT10A","FZD10_LRP5",6.41603319791838e-05,0,"WNT10A_FZD10_LRP5","WNT10A - (FZD10+LRP5)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
3,5,"WNT10A","FZD2_LRP5",3.60866400811037e-05,0,"WNT10A_FZD2_LRP5","WNT10A - (FZD2+LRP5)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
3,5,"WNT10A","FZD4_LRP5",2.55255260431048e-05,0.03,"WNT10A_FZD4_LRP5","WNT10A - (FZD4+LRP5)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
3,5,"WNT10A","FZD5_LRP5",7.05775498441618e-05,0,"WNT10A_FZD5_LRP5","WNT10A - (FZD5+LRP5)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
3,5,"WNT10A","FZD6_LRP5",0.000112511861692539,0,"WNT10A_FZD6_LRP5","WNT10A - (FZD6+LRP5)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
3,5,"WNT10A","FZD7_LRP5",2.9470707529942e-05,0.02,"WNT10A_FZD7_LRP5","WNT10A - (FZD7+LRP5)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
3,5,"WNT10A","FZD8_LRP5",3.89745099865068e-05,0,"WNT10A_FZD8_LRP5","WNT10A - (FZD8+LRP5)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
3,5,"WNT10B","FZD1_LRP5",1.16759423991782e-05,0.04,"WNT10B_FZD1_LRP5","WNT10B - (FZD1+LRP5)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
3,5,"WNT10B","FZD10_LRP5",9.45148172262161e-06,0.02,"WNT10B_FZD10_LRP5","WNT10B - (FZD10+LRP5)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
3,5,"WNT10B","FZD2_LRP5",5.31196042601725e-06,0,"WNT10B_FZD2_LRP5","WNT10B - (FZD2+LRP5)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
3,5,"WNT10B","FZD5_LRP5",1.03985833739816e-05,0,"WNT10B_FZD5_LRP5","WNT10B - (FZD5+LRP5)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
3,5,"WNT10B","FZD6_LRP5",1.65955549215028e-05,0,"WNT10B_FZD6_LRP5","WNT10B - (FZD6+LRP5)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
3,5,"WNT10B","FZD8_LRP5",5.73749682595877e-06,0.01,"WNT10B_FZD8_LRP5","WNT10B - (FZD8+LRP5)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
3,5,"WNT3A","FZD1_LRP5",7.0065864816378e-06,0,"WNT3A_FZD1_LRP5","WNT3A - (FZD1+LRP5)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
3,5,"WNT3A","FZD10_LRP5",5.67155806653254e-06,0,"WNT3A_FZD10_LRP5","WNT3A - (FZD10+LRP5)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
3,5,"WNT3A","FZD2_LRP5",3.1873875728543e-06,0,"WNT3A_FZD2_LRP5","WNT3A - (FZD2+LRP5)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
3,5,"WNT3A","FZD4_LRP5",2.25388902115137e-06,0,"WNT3A_FZD4_LRP5","WNT3A - (FZD4+LRP5)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
3,5,"WNT3A","FZD5_LRP5",6.23995986808657e-06,0,"WNT3A_FZD5_LRP5","WNT3A - (FZD5+LRP5)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
3,5,"WNT3A","FZD6_LRP5",9.95939581408388e-06,0,"WNT3A_FZD6_LRP5","WNT3A - (FZD6+LRP5)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
3,5,"WNT3A","FZD7_LRP5",2.60253855180955e-06,0,"WNT3A_FZD7_LRP5","WNT3A - (FZD7+LRP5)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
3,5,"WNT3A","FZD8_LRP5",3.44274462712139e-06,0,"WNT3A_FZD8_LRP5","WNT3A - (FZD8+LRP5)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
3,5,"WNT6","FZD1_LRP5",9.3414345644954e-06,0,"WNT6_FZD1_LRP5","WNT6 - (FZD1+LRP5)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
3,5,"WNT6","FZD10_LRP5",7.56163137376178e-06,0,"WNT6_FZD10_LRP5","WNT6 - (FZD10+LRP5)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
3,5,"WNT6","FZD2_LRP5",4.24970921430632e-06,0,"WNT6_FZD2_LRP5","WNT6 - (FZD2+LRP5)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
3,5,"WNT6","FZD4_LRP5",3.00511491533085e-06,0,"WNT6_FZD4_LRP5","WNT6 - (FZD4+LRP5)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
3,5,"WNT6","FZD5_LRP5",8.31940655994666e-06,0,"WNT6_FZD5_LRP5","WNT6 - (FZD5+LRP5)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
3,5,"WNT6","FZD6_LRP5",1.32778190355508e-05,0,"WNT6_FZD6_LRP5","WNT6 - (FZD6+LRP5)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
3,5,"WNT6","FZD7_LRP5",3.46995747652466e-06,0,"WNT6_FZD7_LRP5","WNT6 - (FZD7+LRP5)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
3,5,"WNT6","FZD8_LRP5",4.59016180924626e-06,0,"WNT6_FZD8_LRP5","WNT6 - (FZD8+LRP5)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
3,5,"WNT9A","FZD1_LRP5",2.1010572743219e-05,0,"WNT9A_FZD1_LRP5","WNT9A - (FZD1+LRP5)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
3,5,"WNT9A","FZD10_LRP5",1.70086543232046e-05,0,"WNT9A_FZD10_LRP5","WNT9A - (FZD10+LRP5)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
3,5,"WNT9A","FZD2_LRP5",9.56026111551212e-06,0,"WNT9A_FZD2_LRP5","WNT9A - (FZD2+LRP5)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
3,5,"WNT9A","FZD4_LRP5",6.76071615115019e-06,0.03,"WNT9A_FZD4_LRP5","WNT9A - (FZD4+LRP5)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
3,5,"WNT9A","FZD5_LRP5",1.87125929023685e-05,0,"WNT9A_FZD5_LRP5","WNT9A - (FZD5+LRP5)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
3,5,"WNT9A","FZD6_LRP5",2.98596293793689e-05,0,"WNT9A_FZD6_LRP5","WNT9A - (FZD6+LRP5)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
3,5,"WNT9A","FZD7_LRP5",7.80634782752479e-06,0.03,"WNT9A_FZD7_LRP5","WNT9A - (FZD7+LRP5)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
3,5,"WNT9A","FZD8_LRP5",1.03260154151734e-05,0,"WNT9A_FZD8_LRP5","WNT9A - (FZD8+LRP5)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
3,5,"WNT10A","FZD1_LRP6",4.35260360248301e-05,0,"WNT10A_FZD1_LRP6","WNT10A - (FZD1+LRP6)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
3,5,"WNT10A","FZD10_LRP6",3.52402788845144e-05,0,"WNT10A_FZD10_LRP6","WNT10A - (FZD10+LRP6)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
3,5,"WNT10A","FZD2_LRP6",1.98128703231496e-05,0,"WNT10A_FZD2_LRP6","WNT10A - (FZD2+LRP6)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
3,5,"WNT10A","FZD5_LRP6",3.8768463467371e-05,0,"WNT10A_FZD5_LRP6","WNT10A - (FZD5+LRP6)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
3,5,"WNT10A","FZD6_LRP6",6.18396569344538e-05,0,"WNT10A_FZD6_LRP6","WNT10A - (FZD6+LRP6)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
3,5,"WNT10A","FZD8_LRP6",2.13992858775054e-05,0,"WNT10A_FZD8_LRP6","WNT10A - (FZD8+LRP6)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
3,5,"WNT10B","FZD1_LRP6",6.40831095076722e-06,0.04,"WNT10B_FZD1_LRP6","WNT10B - (FZD1+LRP6)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
